location_key,block,street_name,geocode_quality,matched_address,nearest_mrt_station,nearest_mrt_distance_reference_m,mrt_distance_model_eligible,nearest_mrt_distance_m
607|HOUGANG AVE 4,607,HOUGANG AVE 4,exact_building,607 HOUGANG AVENUE 4 SINGAPORE 530607,HOUGANG,679.961092696864,True,679.961092696864
407|HOUGANG AVE 10,407,HOUGANG AVE 10,exact_building,407 HOUGANG AVENUE 10 HARMONY VIEW @ HOUGANG SINGAPORE 530407,HOUGANG,320.9092053056972,True,320.9092053056972
113|JURONG EAST ST 13,113,JURONG EAST ST 13,exact_building,113 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600113,CHINESE GARDEN,345.6237246900943,True,345.6237246900943
30|TEBAN GDNS RD,30,TEBAN GDNS RD,exact_building,30 TEBAN GARDENS ROAD SINGAPORE 600030,JURONG EAST,1360.3554829777263,True,1360.3554829777263
111|JURONG EAST ST 13,111,JURONG EAST ST 13,exact_building,111 JURONG EAST STREET 13 JURONG EAST VILLE SINGAPORE 600111,CHINESE GARDEN,395.812344777066,True,395.812344777066
311|JURONG EAST ST 32,311,JURONG EAST ST 32,exact_building,311 JURONG EAST STREET 32 SINGAPORE 600311,CHINESE GARDEN,582.673890387602,True,582.673890387602
414|JURONG WEST ST 42,414,JURONG WEST ST 42,exact_building,414 JURONG WEST STREET 42 SINGAPORE 640414,LAKESIDE,1061.8335636639183,True,1061.8335636639183
542|JURONG WEST AVE 1,542,JURONG WEST AVE 1,exact_building,542 JURONG WEST AVENUE 1 SINGAPORE 640542,LAKESIDE,1002.7761899641366,True,1002.7761899641366
453|JURONG WEST ST 42,453,JURONG WEST ST 42,exact_building,453 JURONG WEST STREET 42 SINGAPORE 640453,LAKESIDE,884.3271659717171,True,884.3271659717171
410|JURONG WEST ST 42,410,JURONG WEST ST 42,exact_building,410 JURONG WEST STREET 42 SINGAPORE 640410,LAKESIDE,1164.0766077817373,True,1164.0766077817373
7|ST. GEORGE'S LANE,7,ST. GEORGE'S LANE,exact_building,7 SAINT GEORGE'S LANE SINGAPORE 320007,BOON KENG,483.2899716399951,True,483.2899716399951
